@metric_space hamming
item1	0010101011000001010100110000011100011100010000111100011000010010
item2	1000101011001001010110110100011110011101010000101100010000010010
item3	1010001011000001010100110010011110011100010000111100001000010010
item4	0010001011000001010110110000011110011100010000101000001000010010
item5	0010100011010011110100110000011110001100001000101100011000010010
item6	0000101010100001010000110000011110011101010000101100011000010000
item7	0010001011000001010101100000111110011100010000111000011000010011
item8	0000101010000001010100100000111110111110010000101100011010010010
item9	0010000011000101010100110000011110011100011000001010011010010010
item10	0010101111000001010100110000111110011100011000111100011000010010
item11	0010000001000000011100110000011110011100010000101100011001010100
item12	0010101011000001010101110000011110011100010000111101011000010010
item13	0000101011000001011100101010011111111100000000111100011000010010
item14	0010101011100001010100110000010110111100010100101100110000010010
item15	0011100011100001010100110010011110011100110000101100010000010110
item16	0010100111000010010000110000011110011100010000101000011000110110
item17	0010100011000001110100100000010110111100010000101100011000010010
item18	0010101011010001010000110100011110011111011100101100111000010010
item19	0010101111000011010100110000011110011100010000101100011000011010
item20	0010001011000001010100111001011110011100010000001100111000010010
item21	0110101011000000010100010000010100111100010000101101010000010010
item22	0010111011000001010100110000011111010100110000100100011000010010
item23	1010101011000011010100111001011110011110110100001100011000010010
item24	0010101000000000010100100000011010111100010000101000011001010011
item25	0010111001000001010100110000011110011100010000101100011000010010
item26	0010101011000101010111110100011110001110110000101100011000010011
item27	0110101011000101110100110100001110011100010000100100011000010010
item28	0010101011000001010110000000011110010100010000101100011000010010
item29	0010101111000001010100101001011110011100010000101100011000011111
item30	0010101011000001010100110000010110011101010000101100011100010010
item31	0010101011000001010101111000011110011000110010101000011000010010
item32	0010001011000001010111111100011110011100000100101100011000010010
item33	0010101011000011010100110001011110011100010000101101011000011010
item34	0001101010001001010100010010111111011110010000001100011000010010
item35	0110101011000001010100000000011111111100010000101110011010010010
item36	0010000001000001010101010001011110011101010000101100011000010010
item37	0010101011001001010110110000010110111100010001111100011000000010
item38	0010101011000000010100111010011110011010000100101101011001010011
item39	0001101011000001010110110001001100111100000100111100011110010010
item40	0010101001000001010100110000011110011101010010001100011100010010
item41	0010101011000000010001110000011010011100010000101100011000010010
item42	0110101011100000010100110100011100011000000000000000011000010010
item43	0011101001000001110100110000001110011100110000101100010000010010
item44	0010101011000001010100110000011110001100010010101100001000011010
item45	0110000011000001110100100000011011111101010000001101001010010010
item46	0000101011000001010100110000111110011100010000101100011000010010
item47	0110101011000001010100110010011110011100010110000100011010001010
item48	0110101011000001010100110100011110011110010010100100011000010011
item49	0010101011001001010100110000011110011101000100101100011000010010
item50	0010101011001001010100110100011110011100010000100100011010110010
item51	0010101110010000010100110000011100011110010000101100010000010000
item52	0010101011000001110100110000010110011100010000101100011000010010
item53	0010101011000001010100110000011111011100010000101100011000010010
item54	0010101011000001110100110000011100011100010000101100011000010010
item55	0010001011011001010100100010111110111100010000100100011000010011
item56	0010101111000001010100110000011110011101010001101100011000010000
item57	0010101011000001010110110000011110011100010100101101011000010011
item58	0010101011000001010100111011011110011100010010101101010000010000
item59	0010101001000001010100010000011110011100010000101100011000010010
